,CREATEDAT,CURRENCY,CUSTOMER,DOCNUM,DOCTYPE,EXCHRATE,GRANDTOTAL,MATERIAL,QUANTITY,SALDEPT
17,01.01.2016 16:31:58,AED,300175,50-16010003,RI,1.0,87.75,PE387010060101-00080-0100,1,26
18,01.01.2016 16:31:58,AED,300175,50-16010003,RI,1.0,87.75,PE387010090101-00080-0100,1,26
19,01.01.2016 16:31:58,AED,300175,50-16010003,RI,1.0,0.02,CA364020020102-00001-0050,2,26
20,01.01.2016 16:31:58,AED,300175,50-16010003,RI,1.0,0.01,CA364020020113-00001-0050,1,26
21,01.01.2016 16:31:58,AED,300175,50-16010003,RI,1.0,0.01,CA364020020105-00001-0050,1,26
22,02.01.2016 20:43:36,AED,300175,50-16010101,RI,1.0,180.0,BV022010090701-00017-0065,1,23
23,02.01.2016 21:27:09,AED,300175,50-16010107,RI,1.0,215.0,LA055010220602-00302-0100,1,23
24,02.01.2016 21:58:34,AED,300183,50-16010022,RC,1.0,180.0,NR033010150101-00006-0080,1,20
25,03.01.2016 15:52:25,AED,300183,50-16010028,RC,1.0,620.0,AM440010160101-00026-0100,1,23
26,03.01.2016 15:52:25,AED,300183,50-16010028,RC,1.0,380.0,RC044010130101-00454-0075,1,23
27,03.01.2016 15:52:25,AED,300183,50-16010028,RC,1.0,0.01,ZZ950503030301-00001-0000,1,23
28,02.01.2016 10:38:36,AED,300175,50-16010047,RI,1.0,280.0,SW058010020501-00026-0050,2,26
29,02.01.2016 10:38:36,AED,300175,50-16010047,RI,1.0,0.01,CA364020020105-00001-0050,1,26
30,02.01.2016 12:49:18,USD,300175,50-16010053,RI,3.66,70.0,CA022010150101-00970-0075,1,20
31,02.01.2016 12:49:18,USD,300175,50-16010053,RI,3.66,62.0,CH033010051002-00026-0080,1,20
32,02.01.2016 12:49:18,USD,300175,50-16010053,RI,3.66,19.0,FE155010120201-00080-0125,1,20
33,02.01.2016 12:49:18,USD,300175,50-16010053,RI,3.66,59.0,TR044010160201-00080-0100,1,20
34,02.01.2016 12:55:07,USD,300175,50-16010054,RI,3.66,135.0,LA055010100101-00080-0125,3,27
35,02.01.2016 12:55:07,USD,300175,50-16010054,RI,3.66,134.0,CH022010350101-00026-0100,1,27
36,02.01.2016 12:55:07,USD,300175,50-16010054,RI,3.66,0.01,ZZ950504180101-00006-0000,1,27
37,02.01.2016 12:55:07,USD,300175,50-16010054,RI,3.66,0.01,ZZ950016780101-00001-0002,1,27
38,02.01.2016 13:05:57,AED,300175,50-16010059,RI,1.0,250.0,CH033010051001-00080-0100,1,25
39,02.01.2016 13:13:22,USD,300175,50-16010061,RI,3.66,55.0,LA055010230101-00029-0090,1,27
40,02.01.2016 13:13:22,USD,300175,50-16010061,RI,3.66,42.0,MO044010040201-00006-0100,1,27
41,02.01.2016 13:13:22,USD,300175,50-16010061,RI,3.66,83.0,NR030010020101-00026-0100,1,27
42,02.01.2016 13:13:22,USD,300175,50-16010061,RI,3.66,40.0,MO044010090101-00006-0100,1,27
43,02.01.2016 13:13:22,USD,300175,50-16010061,RI,3.66,80.0,GU022010200101-00026-0075,1,27
44,02.01.2016 13:13:22,USD,300175,50-16010061,RI,3.66,0.01,ZZ950503030201-00003-0000,1,27
45,02.01.2016 13:16:52,AED,300175,50-16010064,RI,1.0,250.0,JM350010070101-00026-0100,5,26
46,02.01.2016 13:16:52,AED,300175,50-16010064,RI,1.0,120.0,FO177010170101-00409-0075,2,26
47,02.01.2016 13:16:53,AED,300175,50-16010064,RI,1.0,35.0,VS144010062501-01025-0250,1,26
48,02.01.2016 13:16:53,AED,300175,50-16010064,RI,1.0,200.0,SF033010060301-00006-0100,2,26
49,02.01.2016 14:44:45,AED,300175,50-16010078,RI,1.0,260.0,CH033010050101-00006-0100,1,26
50,02.01.2016 14:44:45,AED,300175,50-16010078,RI,1.0,0.01,CA364020020118-00001-0050,1,26
51,05.01.2016 20:42:09,AED,300175,50-16010281,RI,1.0,230.0,DU055010150101-00458-0100,1,25
52,05.01.2016 20:42:09,AED,300175,50-16010281,RI,1.0,400.0,CH022010350301-00006-0100,1,25
53,05.01.2016 20:42:09,AED,300175,50-16010281,RI,1.0,410.0,CH022010350101-00006-0100,1,25
54,05.01.2016 20:42:09,AED,300175,50-16010281,RI,1.0,0.01,ZZ950504180101-00006-0000,1,25
55,26.01.2016 18:55:24,AED,300183,50-16010243,RC,1.0,195.0,PR033010160101-00026-0050,1,25
56,03.01.2016 18:22:27,USD,300175,50-16010127,RI,3.66,80.0,RL077010070101-00082-0125,1,25
57,03.01.2016 18:22:27,USD,300175,50-16010127,RI,3.66,60.0,CH033010051001-00026-0080,1,25
58,03.01.2016 18:22:27,USD,300175,50-16010127,RI,3.66,65.0,CH033010051001-00080-0100,1,25
59,03.01.2016 18:22:27,USD,300175,50-16010127,RI,3.66,64.0,YS033010080101-00080-0100,1,25
60,03.01.2016 18:22:27,USD,300175,50-16010127,RI,3.66,0.01,CA364020020106-00001-0050,1,25
61,03.01.2016 20:37:31,AED,300175,50-16010138,RI,1.0,366.0,CH022010030301-00080-0100,1,25
62,03.01.2016 20:53:17,AED,300175,50-16010139,RI,1.0,200.0,LA055010090101-00026-0090,1,33
63,03.01.2016 20:53:17,AED,300175,50-16010139,RI,1.0,0.01,CA364020020104-00001-0050,1,33
64,03.01.2016 21:13:30,AED,300175,50-16010141,RI,1.0,390.47,CD022010200101-00026-0100,1,25
65,03.01.2016 21:13:30,AED,300175,50-16010141,RI,1.0,165.68,HB033010060301-00080-0125,1,25
66,03.01.2016 21:13:30,AED,300175,50-16010141,RI,1.0,240.61,PR033010150101-00080-0100,1,25
67,03.01.2016 21:13:30,AED,300175,50-16010141,RI,1.0,221.46,GI033010460301-00080-0100,1,25
68,03.01.2016 21:13:30,AED,300175,50-16010141,RI,1.0,221.46,BU033010120101-00080-0050,2,25
69,03.01.2016 21:13:30,AED,300175,50-16010141,RI,1.0,397.33,CH022010350201-00006-0100,1,25
70,03.01.2016 21:13:30,AED,300175,50-16010141,RI,1.0,343.85,GA033010040501-00579-0075,1,25
71,03.01.2016 21:13:30,AED,300175,50-16010141,RI,1.0,294.73,LA033010360101-00026-0100,2,25
72,03.01.2016 21:13:30,AED,300175,50-16010141,RI,1.0,379.65,EM155010040101-01217-0100,1,25
73,03.01.2016 21:13:30,AED,300175,50-16010141,RI,1.0,412.95,TB176010030102-00462-0100,1,25
74,03.01.2016 21:13:30,AED,300175,50-16010141,RI,1.0,313.88,EM155010020101-00462-0100,1,25
75,03.01.2016 21:13:30,AED,300175,50-16010141,RI,1.0,353.84,EM155010020301-00462-0100,1,25
76,03.01.2016 21:13:30,AED,300175,50-16010141,RI,1.0,357.17,EM155010030301-00462-0100,1,25
77,03.01.2016 21:13:30,AED,300175,50-16010141,RI,1.0,659.39,EM155010020202-01194-0100,2,25
78,03.01.2016 21:13:30,AED,300175,50-16010141,RI,1.0,847.55,TB176010020102-00462-0100,2,25
79,03.01.2016 21:13:30,AED,300175,50-16010141,RI,1.0,0.01,ZZ950503030201-00003-0000,1,25
80,03.01.2016 21:13:31,AED,300175,50-16010141,RI,1.0,0.02,ZZ950501330301-00001-0000,2,25
81,03.01.2016 21:13:31,AED,300175,50-16010141,RI,1.0,0.01,ZZ950503030101-00001-0000,1,25
82,03.01.2016 21:31:19,AED,300183,50-16010035,RC,1.0,440.0,CH022010370101-00102-0100,1,33
83,03.01.2016 21:31:19,AED,300183,50-16010035,RC,1.0,410.0,TF022010020101-00026-0100,1,33
84,03.01.2016 21:31:19,AED,300183,50-16010035,RC,1.0,0.01,CA364020020112-00001-0050,1,33
85,03.01.2016 21:31:19,AED,300183,50-16010035,RC,1.0,0.01,CA364020020116-00001-0050,1,33
86,03.01.2016 21:33:14,AED,300175,50-16010144,RI,1.0,366.0,CD022010190101-00026-0050,1,25
87,03.01.2016 21:33:14,AED,300175,50-16010144,RI,1.0,0.01,CA364020020111-00001-0050,1,25
88,04.01.2016 12:53:33,AED,300175,50-16010156,RI,1.0,125.0,JC033010010101-00017-0100,1,27
89,04.01.2016 12:53:33,AED,300175,50-16010156,RI,1.0,35.0,AF476010150101-00978-0020,1,27
90,04.01.2016 12:53:33,AED,300175,50-16010156,RI,1.0,35.0,AF476010040101-00974-0020,1,27
91,01.01.2016 16:04:34,AED,300175,50-16010001,RI,1.0,240.0,LA022010141101-00028-0075,1,26
92,01.01.2016 16:33:07,AED,300175,50-16010004,RI,1.0,110.0,DU055010010101-00080-0075,1,21
93,01.01.2016 17:55:26,AED,300175,50-16010007,RI,1.0,200.0,GU022010150201-00026-0075,1,23
94,01.01.2016 17:55:26,AED,300175,50-16010007,RI,1.0,200.0,PR033010150101-00093-0100,1,23
95,01.01.2016 17:55:26,AED,300175,50-16010007,RI,1.0,0.02,CA364020020115-00001-0050,2,23
96,01.01.2016 17:55:26,AED,300175,50-16010007,RI,1.0,220.0,HB033010300101-00093-0100,1,23
97,01.01.2016 18:14:32,AED,300175,50-16010010,RI,1.0,366.0,CH022010330401-00080-0100,1,23
98,01.01.2016 18:17:31,AED,300175,50-16010011,RI,1.0,110.0,CK066010110101-00080-0100,1,21
99,01.01.2016 19:30:10,AED,300175,50-16010017,RI,1.0,117.75,EA052010180101-00026-0100,1,26
100,01.01.2016 19:48:36,AED,300175,50-16010023,RI,1.0,260.0,PR033010160101-00026-0080,1,26
101,01.01.2016 19:48:36,AED,300175,50-16010023,RI,1.0,0.01,CA364020020107-00001-0050,1,26
102,01.01.2016 20:09:11,AED,300175,50-16010026,RI,1.0,220.0,PR033010170101-00080-0100,1,23
103,01.01.2016 20:09:11,AED,300175,50-16010026,RI,1.0,110.0,AF476010100101-00575-0100,1,23
104,07.08.2016 20:49:48,AED,300175,50-16080212,RI,1.0,250.0,GU025010360101-00026-0100,1,36
105,07.08.2016 21:49:31,AED,300175,50-16080217,RI,1.0,250.0,LA022010330101-00026-0075,1,26
106,07.08.2016 21:49:31,AED,300175,50-16080217,RI,1.0,0.01,ZZ950502530101-00001-01P5,1,26
107,02.01.2016 13:29:42,USD,300175,50-16010067,RI,3.66,45.0,JC144010060101-00026-0100,1,33
108,02.01.2016 14:02:48,AED,300175,50-16010071,RI,1.0,114.0,VW045010100101-00026-0050,1,26
109,02.01.2016 14:10:50,AED,300183,50-16010009,RC,1.0,300.0,CD022010200101-00006-0075,1,33
110,26.01.2016 18:51:10,AED,300183,50-16010242,RC,1.0,174.0,CA055010050101-00080-0050,3,19
111,26.01.2016 18:51:11,AED,300183,50-16010242,RC,1.0,0.01,CA364020020105-00001-0050,1,19
112,03.01.2016 20:49:22,AED,300183,50-16010031,RC,1.0,270.0,CH033010110201-00080-0100,1,20
113,03.01.2016 20:49:22,AED,300183,50-16010031,RC,1.0,0.01,CA364020020117-00001-0050,1,20
114,03.01.2016 20:57:13,AED,300175,50-16010140,RI,1.0,70.0,AF476010150101-00978-0020,2,33
115,03.01.2016 21:30:58,AED,300183,50-16010034,RC,1.0,175.0,HB033010250101-00080-0125,1,33
116,03.01.2016 21:30:58,AED,300183,50-16010034,RC,1.0,210.0,CH044010010101-00026-0050,1,33
117,03.01.2016 21:30:59,AED,300183,50-16010034,RC,1.0,0.01,CA364020020116-00001-0050,1,33
118,03.01.2016 21:46:34,AED,300175,50-16010147,RI,1.0,110.0,CK066010110401-00080-0100,1,20
119,03.01.2016 22:38:00,AED,300183,50-16010040,RC,1.0,190.0,TR044010170101-00080-0100,1,25
120,03.01.2016 22:38:00,AED,300183,50-16010040,RC,1.0,0.01,CA364020020104-00001-0050,1,25
121,03.01.2016 22:39:40,AED,300183,50-16010041,RC,1.0,220.0,DA055010032301-00408-0100,2,33
122,03.01.2016 22:39:40,AED,300183,50-16010041,RC,1.0,90.0,DA055010030201-00006-0100,1,33
123,05.01.2016 12:36:52,AED,300175,50-16010232,RI,1.0,64.5,GU160010010101-00026-0075,1,26
124,05.01.2016 12:36:52,AED,300175,50-16010232,RI,1.0,137.5,VE044010270101-00017-0090,1,26
125,05.01.2016 12:38:06,AED,300175,50-16010234,RI,1.0,89.0,BS244010030501-00026-0100,1,26
126,05.01.2016 16:26:35,AED,300175,50-16010248,RI,1.0,0.01,CA364020020109-00001-0050,1,33
127,05.01.2016 16:26:35,AED,300175,50-16010248,RI,1.0,156.75,HB033010250101-00080-0125,1,33
128,05.01.2016 16:26:35,AED,300175,50-16010248,RI,1.0,50.0,JA166010070101-00080-0100,1,33
129,05.01.2016 16:26:35,AED,300175,50-16010248,RI,1.0,69.75,FE155010120201-00080-0125,1,33
130,05.01.2016 16:26:35,AED,300175,50-16010248,RI,1.0,39.0,VS144010061101-01025-0250,1,33
131,05.01.2016 16:26:35,AED,300175,50-16010248,RI,1.0,0.01,CA364020020114-00001-0050,1,33
132,05.01.2016 16:37:29,AED,300175,50-16010250,RI,1.0,170.0,CA145010290101-00080-0200,1,33
133,02.01.2016 17:42:18,AED,300183,50-16010012,RC,1.0,500.0,CR065010350101-00102-0075,1,26
134,03.01.2016 15:45:20,AED,300183,50-16010012,RC,1.0,0.01,CA364020020110-00001-0050,1,26
135,02.01.2016 19:08:55,AED,300175,50-16010095,RI,1.0,270.0,VA033010090101-00080-0100,1,33
136,02.01.2016 19:08:55,AED,300175,50-16010095,RI,1.0,180.0,BV022010090201-00028-0065,1,33
137,02.01.2016 19:08:55,AED,300175,50-16010095,RI,1.0,0.01,CA364020020108-00001-0050,1,33
138,02.01.2016 19:35:43,AED,300183,50-16010015,RC,1.0,214.0,DG044010130201-00026-0100,1,20
139,02.01.2016 21:17:11,AED,300183,50-16010018,RC,1.0,85.0,AZ155010110101-00080-0100,1,27
140,02.01.2016 21:51:32,AED,300183,50-16010020,RC,1.0,200.0,JP033010020101-00006-0100,1,33
141,03.01.2016 10:19:17,AED,300175,50-16010109,RI,1.0,60.0,JM350010070101-00026-0100,1,27
142,03.01.2016 12:04:28,AED,300175,50-16010111,RI,1.0,300.0,GA033010110801-00080-0125,1,26
143,02.01.2016 21:51:32,AED,300183,50-16010020,RC,1.0,390.0,MJ060010180101-00026-0100,1,33
144,02.01.2016 21:51:32,AED,300183,50-16010020,RC,1.0,85.0,JI052010120101-00080-0125,1,33
145,02.01.2016 21:51:32,AED,300183,50-16010020,RC,1.0,150.0,PR033010030101-00080-0100,1,33
146,02.01.2016 21:51:32,AED,300183,50-16010020,RC,1.0,0.01,ZZ950503030301-00001-0000,1,33
147,03.01.2016 12:04:28,AED,300175,50-16010111,RI,1.0,590.0,CR065010350101-00102-0120,1,26
148,03.01.2016 12:04:28,AED,300175,50-16010111,RI,1.0,760.0,TF022010020101-00026-0100,2,26
149,03.01.2016 12:04:28,AED,300175,50-16010111,RI,1.0,550.0,AM440010180101-00102-0100,1,26
150,03.01.2016 12:04:28,AED,300175,50-16010111,RI,1.0,300.0,HE022010210101-00081-0100,1,26
151,03.01.2016 12:30:22,AED,300183,50-16010025,RC,1.0,39.0,VS144010062201-01025-0250,1,27
152,03.01.2016 12:30:22,AED,300183,50-16010025,RC,1.0,39.0,VS144010060301-01025-0250,1,27
153,03.01.2016 12:30:22,AED,300183,50-16010025,RC,1.0,39.0,VS144010060402-01025-0250,1,27
154,03.01.2016 12:47:53,USD,300175,50-16010113,RI,3.66,60.0,NI155010020101-00080-0100,3,27
155,03.01.2016 13:17:59,AED,300175,50-16010111,RI,1.0,0.02,ZZ950503030101-00001-0000,2,26
156,03.01.2016 15:55:34,AED,300175,50-16010116,RI,1.0,85.0,GU160010060401-00080-0100,1,27
157,08.01.2016 18:57:41,AED,300183,50-16010077,RC,1.0,106.2,SD152010070201-00006-0100,1,23
158,08.01.2016 18:57:41,AED,300183,50-16010077,RC,1.0,96.0,KE033010080601-00007-0050,1,23
159,08.01.2016 18:57:41,AED,300183,50-16010077,RC,1.0,96.6,KE033010310201-00026-0050,1,23
160,08.01.2016 18:57:41,AED,300183,50-16010077,RC,1.0,85.2,EU065010080801-00006-0050,2,23
161,08.01.2016 18:57:41,AED,300183,50-16010077,RC,1.0,40.0,BV022010140301-00025-0010,1,23
162,08.01.2016 18:57:41,AED,300183,50-16010077,RC,1.0,40.0,LA022010250101-00024-0004,1,23
163,08.01.2016 18:57:42,AED,300183,50-16010077,RC,1.0,15.0,GI033010110101-00004-0004,1,23
164,08.01.2016 18:57:42,AED,300183,50-16010077,RC,1.0,41.0,ES165010020101-00024-07P5,1,23
165,02.01.2016 18:52:24,AED,300175,50-16010094,RI,1.0,39.0,VS144010060402-01025-0250,1,26
166,02.01.2016 19:23:19,USD,300175,50-16010096,RI,3.66,50.0,TR044010130101-00006-0100,1,23
167,02.01.2016 19:25:08,AED,300183,50-16010013,RC,1.0,320.0,HE022010290101-01243-0085,1,26
168,02.01.2016 19:25:08,AED,300183,50-16010013,RC,1.0,266.0,DG044010080601-00026-0075,1,26
169,02.01.2016 19:25:08,AED,300183,50-16010013,RC,1.0,0.01,ZZ950501730201-00001-0000,1,26
170,02.01.2016 20:23:27,AED,300175,50-16010097,RI,1.0,600.0,SH440010030301-00579-0100,1,26
171,02.01.2016 20:23:27,AED,300175,50-16010097,RI,1.0,0.01,CA364020020111-00001-0050,1,26
172,02.01.2016 20:47:46,AED,300175,50-16010102,RI,1.0,150.0,KE033010080101-00018-0100,1,23
173,02.01.2016 20:47:46,AED,300175,50-16010102,RI,1.0,290.0,BU033010140101-00041-0090,1,23
174,02.01.2016 20:47:46,AED,300175,50-16010102,RI,1.0,170.0,CA022010110101-00080-0100,1,23
175,03.01.2016 18:25:51,USD,300175,50-16010128,RI,3.66,115.0,CH022010350301-00006-0100,1,27
176,03.01.2016 18:25:51,USD,300175,50-16010128,RI,3.66,0.01,ZZ950016780101-00001-0002,1,27
177,03.01.2016 19:01:55,AED,300175,50-16010129,RI,1.0,150.0,SF033010090201-00026-0090,1,26
178,03.01.2016 20:26:39,AED,300175,50-16010137,RI,1.0,300.0,HB033010070201-00080-0100,2,27
179,03.01.2016 20:26:39,AED,300175,50-16010137,RI,1.0,0.01,ZZ950503030101-00001-0000,1,27
180,04.01.2016 16:58:51,AED,300183,50-16010043,RC,1.0,300.0,RL077010031101-00102-0125,1,26
181,04.01.2016 17:03:49,AED,300175,50-16010171,RI,1.0,153.0,CO176010020101-00102-0125,1,25
182,04.01.2016 17:04:04,AED,300175,50-16010172,RI,1.0,1040.0,SH440010030401-00813-0100,1,20
183,04.01.2016 17:04:04,AED,300175,50-16010172,RI,1.0,0.01,ZZ950016780101-00001-0002,1,20
184,04.01.2016 18:32:52,AED,300175,50-16010180,RI,1.0,160.0,CA022010070101-00080-0100,1,27
185,04.01.2016 18:32:52,AED,300175,50-16010180,RI,1.0,125.0,CA022010070301-00080-0050,1,27
186,04.01.2016 18:32:52,AED,300175,50-16010180,RI,1.0,125.0,PR033010140101-00080-0050,1,27
187,04.01.2016 18:38:13,AED,300175,50-16010183,RI,1.0,300.0,BU033010140101-00026-0090,1,33
188,04.01.2016 18:53:52,AED,300175,50-16010185,RI,1.0,310.0,VR044010020101-00026-0100,1,25
189,04.01.2016 20:47:02,AED,300175,50-16010199,RI,1.0,320.0,VE044010270101-00006-0090,2,26
190,04.01.2016 21:00:47,AED,300175,50-16010200,RI,1.0,245.0,PR033010170101-00080-0100,1,27
191,04.01.2016 22:01:28,AED,300175,50-16010207,RI,1.0,0.01,ZZ950503030301-00001-0000,1,20
192,04.01.2016 22:01:27,AED,300175,50-16010207,RI,1.0,300.0,BV022010100101-00080-0100,2,20
193,04.01.2016 22:01:27,AED,300175,50-16010207,RI,1.0,200.0,CK066010110101-00080-0100,2,20
194,04.01.2016 22:01:28,AED,300175,50-16010207,RI,1.0,270.0,CD022010200101-00006-0075,1,20
195,04.01.2016 22:01:28,AED,300175,50-16010207,RI,1.0,330.0,CD022010200101-00006-0100,1,20
196,14.01.2016 13:57:58,AED,300175,50-16010652,RI,1.0,194.83,VE044010270101-00006-0090,1,27
197,14.01.2016 13:57:58,AED,300175,50-16010652,RI,1.0,394.65,CD022010200101-00026-0100,1,27
198,14.01.2016 13:57:58,AED,300175,50-16010652,RI,1.0,87.67,AZ155010070101-00080-0100,1,27
199,14.01.2016 13:57:58,AED,300175,50-16010652,RI,1.0,152.87,HB033010200101-00006-0100,1,27
200,14.01.2016 13:57:58,AED,300175,50-16010652,RI,1.0,174.98,VE044010240201-00080-0100,1,27
201,05.01.2016 12:32:18,AED,300175,50-16010229,RI,1.0,70.0,AF476010040101-00974-0020,2,26
202,05.01.2016 12:32:18,AED,300175,50-16010229,RI,1.0,0.02,CA364020020106-00001-0050,2,26
203,05.01.2016 12:32:18,AED,300175,50-16010229,RI,1.0,0.01,CA364020020113-00001-0050,1,26
204,05.01.2016 12:32:18,AED,300175,50-16010229,RI,1.0,0.01,CA364020020109-00001-0050,1,26
205,05.01.2016 12:32:18,AED,300175,50-16010229,RI,1.0,0.02,CA364020020117-00001-0050,2,26
206,05.01.2016 13:01:19,AED,300175,50-16010237,RI,1.0,219.0,MO145010270101-00149-0100,1,23
207,05.01.2016 13:28:32,AED,300175,50-16010240,RI,1.0,250.0,GU022010150201-00026-0075,1,26
208,05.01.2016 13:28:32,AED,300175,50-16010240,RI,1.0,0.01,CA364020020109-00001-0050,1,26
209,05.01.2016 13:47:59,AED,300175,50-16010242,RI,1.0,490.0,CH022010330201-00026-0100,1,33
210,05.01.2016 13:47:59,AED,300175,50-16010242,RI,1.0,480.0,CH022010310201-00026-0100,1,33
211,05.01.2016 13:47:59,AED,300175,50-16010242,RI,1.0,400.0,CH022010350301-00006-0100,1,33
212,05.01.2016 13:47:59,AED,300175,50-16010242,RI,1.0,345.0,EM155010020202-01194-0100,1,33
213,05.01.2016 13:47:59,AED,300175,50-16010242,RI,1.0,430.0,TF022010020101-00026-0100,1,33
214,05.01.2016 13:48:00,AED,300175,50-16010242,RI,1.0,420.0,CH022010370101-00102-0100,1,33
215,05.01.2016 13:48:00,AED,300175,50-16010242,RI,1.0,70.0,VS144010061001-01025-0250,2,33
216,05.01.2016 13:48:00,AED,300175,50-16010242,RI,1.0,0.01,ZZ950503030201-00003-0000,1,33
217,05.01.2016 13:48:00,AED,300175,50-16010242,RI,1.0,0.01,ZZ950503030101-00001-0000,1,33
218,05.01.2016 13:48:00,AED,300175,50-16010242,RI,1.0,0.01,CA364020020102-00001-0050,1,33
219,05.01.2016 14:30:33,AED,300175,50-16010245,RI,1.0,358.5,YS033010320101-00026-0090,1,25
220,26.01.2016 18:44:10,AED,300175,50-16011231,RI,1.0,20.0,CA364020020105-00001-0050,2,23
221,28.03.2016 13:48:41,AED,300175,50-16030959,RI,1.0,142.84,DK066010100101-00026-0100,1,23
222,28.03.2016 13:48:41,AED,300175,50-16030959,RI,1.0,158.87,VE044010290101-00080-0100,1,23
223,28.03.2016 13:48:41,AED,300175,50-16030959,RI,1.0,9.43,CA364020020108-00001-0050,1,23
224,28.03.2016 13:48:41,AED,300175,50-16030959,RI,1.0,9.43,CA364020020107-00001-0050,1,23
225,28.03.2016 13:48:41,AED,300175,50-16030959,RI,1.0,9.43,CA364020020112-00001-0050,1,23
226,28.03.2016 13:48:41,AED,300175,50-16030959,RI,1.0,0.01,ZZ950014980302-00001-0002,1,23
227,28.03.2016 15:32:36,AED,300183,50-16030220,RC,1.0,268.8,YS033010230201-00102-0100,1,23
228,28.03.2016 15:32:36,AED,300183,50-16030220,RC,1.0,0.01,ZZ950014980302-00001-0002,1,23
229,28.03.2016 15:32:36,AED,300183,50-16030220,RC,1.0,151.2,RC044010030601-00080-0090,1,23
230,06.02.2016 13:53:25,AED,300175,50-16020227,RI,1.0,200.0,GU022010150301-00017-0075,1,27
231,06.02.2016 14:22:54,AED,300183,50-16020056,RC,1.0,129.0,VE044010270101-00006-0090,1,19
232,05.01.2016 12:32:32,AED,300175,50-16010230,RI,1.0,105.0,GF054010010101-00502-0125,1,23
233,05.01.2016 12:32:32,AED,300175,50-16010230,RI,1.0,114.8,MB033010030101-00080-0075,1,23
234,05.01.2016 12:32:32,AED,300175,50-16010230,RI,1.0,112.2,MO044010100101-00041-0100,1,23
235,05.01.2016 12:32:32,AED,300175,50-16010230,RI,1.0,90.3,LA033010350101-00026-0075,1,23
236,05.01.2016 12:32:32,AED,300175,50-16010230,RI,1.0,81.9,AZ155010070301-00080-0125,1,23
237,05.01.2016 12:32:32,AED,300175,50-16010230,RI,1.0,117.6,BA155010050101-00093-0090,1,23
238,04.01.2016 20:14:30,AED,300175,50-16010195,RI,1.0,400.0,CD022010020102-00026-0100,1,33
239,04.01.2016 20:14:30,AED,300175,50-16010195,RI,1.0,0.01,CA364020020117-00001-0050,1,33
240,04.01.2016 21:02:18,AED,300175,50-16010201,RI,1.0,160.0,BV022010150201-00080-0100,1,27
241,04.01.2016 21:02:18,AED,300175,50-16010201,RI,1.0,245.0,PR033010170101-00080-0100,1,27
242,04.01.2016 21:22:07,AED,300175,50-16010204,RI,1.0,160.0,AZ155010020601-00080-0100,2,20
243,04.01.2016 21:22:07,AED,300175,50-16010204,RI,1.0,200.0,VE044010330101-00080-0100,1,20
244,04.01.2016 21:22:07,AED,300175,50-16010204,RI,1.0,0.01,CA364020020117-00001-0050,1,20
245,14.01.2016 14:32:09,AED,300175,50-16010654,RI,1.0,271.0,BU033010070101-00026-0050,2,33
246,14.01.2016 14:32:09,AED,300175,50-16010654,RI,1.0,351.0,BU033010070101-00006-0050,3,33
247,14.01.2016 14:32:09,AED,300175,50-16010654,RI,1.0,0.01,CA364020020106-00001-0050,1,33
248,14.01.2016 14:40:55,AED,300175,50-16010656,RI,1.0,400.0,TT162010040101-00782-0100,1,23
249,14.01.2016 14:40:55,AED,300175,50-16010656,RI,1.0,0.01,CA364020020104-00001-0050,1,23
